Country,Year,deficit,capex,expenditure,gdp_growth,gov_debt,gdp_nominal,revenue,tax_revenue,deficit_pct_gdp,revenue_pct_gdp,tax_pct_gdp,debt_pct_gdp,fiscal_burden,wage_proxy_pct_gdp,revenue_volatility,structural_deficit
Egypt,2017,-223.09900000000002,,638.6536666666667,4.811999999999999,35.4011,1591.7800000000002,417.52866666666665,269.3156666666667,-0.14015693123421577,0.2623029983205384,0.1691915130650383,0.02223994521856035,0.08478723217407827,0.40121980843248856,0.01474295615748852,-0.15459293123421577
Egypt,2018,-315.828,,992.5540000000001,5.398,46.86394,1965.9599999999998,678.1475,466.0095,-0.16064823292437283,0.3449447089462655,0.237039156442654,0.023837687440232763,0.0691058213736687,0.5048698854503653,0.04252900357989391,-0.17684223292437284
Egypt,2019,-247.94466666666668,,837.761,5.616,57.73286,2305.54,576.8443333333333,390.4926666666667,-0.1075429906515032,0.25019923025986684,0.16937145600018508,0.02504092750505305,0.10008395101393618,0.3633686685114984,0.0515636488040554,-0.1243909906515032
Egypt,2020,-265.595,,918.8766666666667,1.9140000000000001,69.88772,2500.08,632.3066666666667,408.0276666666667,-0.10623460049278424,0.25291457340031787,0.16320584407965613,0.027954193465809095,0.11052820361427998,0.3675389054216932,0.05393456632576603,-0.11197660049278424
Egypt,2021,-289.097,,993.3620000000001,6.4,82.69520000000001,2777.92,707.8126666666667,465.73066666666665,-0.10406959163690818,0.25479951426486963,0.1676544560918481,0.02976874784011059,0.11683204313005609,0.357592011289022,0.0023125996684827442,-0.12326959163690818
Egypt,2022,-316.21233333333333,,1141.2926666666665,4.720000000000001,82.15186,3326.16,836.8056666666668,554.4303333333334,-0.09506828695352398,0.2515831068459325,0.1666878121717937,0.024698709623108932,0.09817316405999481,0.34312620759875245,0.0016161209697379438,-0.10922828695352399
Egypt,2023,-497.3065,,1553.473,3.11,83.52938,4429.298,1055.3725,771.806,-0.11227659552371505,0.2382708275668063,0.17425018592110986,0.018858378912414566,0.07914682256738735,0.35072668400274715,0.008763176176981106,-0.12160659552371506
Ghana,2014,-0.6014,,2.6635333333333335,2.5759999999999996,22.27620333333333,61.562438,2.062108333333333,0.7072249999999999,-0.0097689438485201,0.03349620970718108,0.011487930351296352,0.3618473221176415,10.802634843788518,0.04326555964748072,0.01318572123664064,-0.0174969438485201
Ghana,2015,-0.5263583333333334,,3.1170416666666667,2.3600000000000003,24.220685833333334,72.47188200000001,2.590691666666667,0.72555,-0.007262931757910375,0.035747542290493664,0.010011468999797742,0.334208042690727,9.349119443649219,0.04301035906127933,0.011828584883482715,-0.014342931757910377
Ghana,2016,-1.4539083333333334,,3.7203666666666666,4.33,28.00434416666667,87.632434,2.806516666666667,0.7589083333333333,-0.016590984261983792,0.03202600382715225,0.008660130715225065,0.3195659744731804,9.97832811729843,0.042454220393634924,0.0018743822210924442,-0.029580984261983793
Ghana,2017,-0.9222166666666668,,4.128408333333334,5.394,31.56618416666667,103.31467,3.3564666666666665,1.0925583333333335,-0.008926289622438582,0.032487803200326404,0.010575055152703227,0.3055343850652252,9.404587413351344,0.03995955592108394,0.0020285054486475543,-0.02510828962243858
Ghana,2018,-0.88,,4.849741666666667,6.102,35.82634,120.04074399999999,4.146791666666666,1.5647083333333331,-0.007330844267343095,0.03454486808801074,0.013034810358500721,0.29845149910100527,8.639532168443477,0.0404007964717935,0.0013409854447281636,-0.025636844267343094
Ghana,2019,-1.093775,,5.495683333333333,5.9879999999999995,39.7866925,138.35077,4.60775,1.8902750000000001,-0.00790581071576255,0.0333048381299215,0.013662916368300661,0.28757839584123746,8.634733329716239,0.039722824335082,0.0010357554670609426,-0.025869810715762546
Ghana,2020,-3.4393333333333334,,8.033375,0.8240000000000001,47.83629666666667,154.01772999999997,4.8096000000000005,1.9773916666666667,-0.022330762395558836,0.031227573604675263,0.012838727506675154,0.3105895448963355,9.946003132623641,0.05215876769512186,0.0016761635209594978,-0.024802762395558835
Ghana,2021,-3.2649500000000002,,9.106316666666666,6.3100000000000005,58.40845916666667,180.46167599999998,6.101108333333333,2.33095,-0.01809220701241853,0.03380833243138745,0.012916592883687949,0.3236612917562988,9.573417807966585,0.0504612218422856,0.001368018673185594,-0.037022207012418526
Ghana,2022,-5.700483333333334,,12.163059166666665,4.556,53.7150025,239.14665000000005,8.05427,3.2020250000000003,-0.023836768498882725,0.03367920897072988,0.01338937844205637,0.2246111434134661,6.669133577593002,0.05086025318216526,0.0014541609813356075,-0.03750476849888273
Ghana,2023,-1.5531666666666668,,12.887435000000002,3.4219999999999997,52.4382125,347.64424399999996,11.334270833333333,4.709993333333333,-0.004467689868228242,0.032603073483746026,0.013548313871502885,0.15083871919363637,4.626518394618092,0.037070756160714695,0.0006617388187327213,-0.01473368986822824
Ghana,2024,-7.720604166666667,,18.853628333333333,5.984,51.102129166666664,459.41610000000003,15.549437500000002,6.561834166666667,-0.01680525381384472,0.03384608745753577,0.01428298696250886,0.1112327782301636,3.2864294394357776,0.041038240351901754,0.0006746603781088624,-0.034757253813844716
Nigeria,2017,-900.2194135294118,199.82176923076923,1538.8531764705883,0.784,20223.99836,45959.698,638.6337629411764,,-0.0195871481472618,0.013895516957948167,,0.4400376686548289,31.667599700429246,0.029134904394711628,0.0006386452608288749,-0.0219391481472618
Nigeria,2018,-632.601,258.7845384615385,1330.2400588235296,1.9140000000000001,22975.686185,51634.764,697.6390588235294,,-0.012251455240504246,0.013511034132421508,,0.4449654536040873,32.9334860117283,0.02075066171236865,0.00019276134063851762,-0.017993455240504247
Nigeria,2019,-867.4157647058823,352.15353846153846,1668.4305882352942,2.2640000000000002,26066.27231,58255.654,801.0148235294118,,-0.014889812492807691,0.013749992808069957,,0.4474462223014439,32.54156046095056,0.02259483774353912,0.0001941243458843656,-0.021681812492807692
Nigeria,2020,-1089.1404705882353,248.44453846153846,1756.5176470588235,-1.932,31193.85362,61700.928,667.3771764705882,,-0.017651930139336563,0.010816323159200916,,0.5055653882547764,46.7409655585888,0.024441660076770403,0.0016291606267522297,-0.011855930139336564
Nigeria,2021,-1219.4410588235294,388.07215384615387,2064.4614705882354,3.386,36533.22536,70430.202,845.020411764706,,-0.01731417806843049,0.011997983645776082,,0.518715328404141,43.23354187824352,0.023802136997166094,0.0014760462514766667,-0.02747217806843049
Nigeria,2022,-1646.5362352941174,482.1262307692308,2582.5136470588236,3.104,43691.155045,80946.008,935.9774117647058,,-0.020341166611874392,0.01156298420256507,,0.5397567603951513,46.67971095864807,0.025948004950282325,0.0005976410202906577,-0.029653166611874393
Nigeria,2023,-2382.6739411764706,690.1858461538462,3441.190411764706,2.712,80621.7858575,93770.364,1058.5164705882353,,-0.025409669319151524,0.011288390333946397,,0.8597789580671777,76.16488557112118,0.029337676087200212,0.00035780557487506036,-0.033545669319151525
Nigeria,2024,-2148.1553333333336,428.3848888888889,3161.2871666666665,3.374,135738.3170575,110997.51200000002,1013.1318333333334,,-0.01935318454104929,0.009127518401793846,,1.2228951317170063,133.97892810346664,0.024621293113108494,0.0013339329672422094,-0.02947518454104929
Togo,1991,-29.4,20.4,115.0,-0.52,381.19,704.12,115.0,68.9,-0.04175424643526671,0.16332443333522695,0.09785263875475772,0.5413707890700449,3.314695652173913,0.13435209907402146,0.01570159079567183,-0.040194246435266714
Togo,1992,-18.2,15.7,98.8,-3.23,358.05,692.78,98.8,54.9,-0.026270966251912584,0.1426138167960969,0.07924593666098906,0.5168307399174341,3.623987854251012,0.11995149975461185,0.021462347836197545,-0.016580966251912584
Togo,1993,-53.8,8.2,93.1,-15.73,366.28,564.94,93.1,30.9,-0.0952313520019825,0.16479626154989907,0.05469607391935426,0.6483520373845009,3.934264232008593,0.1502814458172549,0.012404009909298718,-0.04804135200198251
Togo,1994,-59.3,12.4,135.9,14.56,808.23,858.5,135.9,60.3,-0.06907396622015143,0.15829935934769948,0.07023878858474082,0.9414443797320908,5.947240618101545,0.14385556202679092,0.011403996657740764,-0.11275396622015144
Togo,1995,-42.0,22.9,147.2,5.37,736.62,1019.32,147.2,88.8,-0.04120393988148962,0.14440999882274455,0.0871169014637209,0.7226582427500686,5.00421195652174,0.12194404112545616,0.010414123278811478,-0.05731393988148962
Togo,1996,-24.2,15.1,150.7,7.67,761.25,1141.78,150.7,98.1,-0.021194976265129884,0.1319868976510361,0.08591847816567114,0.6667221356128151,5.051426675514267,0.11876193312196745,0.013163038017197197,-0.04420497626512988
Togo,1997,-20.8,17.6,161.2,3.81,785.45,1326.67,161.2,115.7,-0.01567835256695335,0.12150723239388844,0.087210836153678,0.5920462511400725,4.872518610421837,0.10824093406800485,0.011465117652537304,-0.027108352566953348
Togo,1998,-71.8,34.2,212.3,-2.3,868.31,1269.1,212.3,115.0,-0.05657552596328107,0.16728390197777954,0.09061539673784573,0.6841935229690331,4.090014130946773,0.14033567094791588,0.023983346223774977,-0.049675525963281064
Togo,1999,-33.2,29.0,175.0,2.62,937.86,1326.91,175.0,112.7,-0.025020536434272107,0.13188535771077164,0.08493417036573693,0.7068000090435673,5.3592,0.11003006986155806,0.024000923244426126,-0.032880536434272106
Togo,2000,-54.6,28.3,175.8,-0.96,902.2,1496.23,175.8,103.9,-0.03649171584582584,0.11749530486623047,0.06944119553811914,0.602982161833408,5.131968145620022,0.0985811004992548,0.02562236965175864,-0.03361171584582584
Togo,2001,-20.0,22.8,152.1,0.82,950.3,1533.19,152.1,108.2,-0.013044697656520065,0.09920492567783509,0.07057181432177356,0.6198188091495509,6.247863247863248,0.08433397034940221,0.016378961249030183,-0.015504697656520065
Togo,2002,-7.0,14.4,135.3,3.83,893.5,1671.88,135.3,115.5,-0.004186903366270306,0.08092686077948179,0.06908390554346006,0.5344283082517883,6.603843311160384,0.07231380242601143,0.01828422238894059,-0.015676903366270305
Togo,2003,17.0,10.4,153.8,6.72,827.0,1732.66,153.8,148.8,0.009811503699514041,0.08876525111677998,0.08587951473456996,0.477300797617536,5.377113133940182,0.08276291944178316,0.009169831191185836,-0.010348496300485956
Togo,2004,13.7,15.8,165.8,-0.98,781.4,1682.93,165.8,161.0,0.008140564372849731,0.09851865496485297,0.09566648642546036,0.4643092701419548,4.712907117008443,0.08913026685601896,0.008813252070641273,0.011080564372849731
Togo,2005,-31.9,36.6,219.8,-4.67,820.4,1698.71,219.8,162.0,-0.018778955795868628,0.1293923035715337,0.09536648397901937,0.48295471269374995,3.7324840764331206,0.10784654237627377,0.021208757845419108,-0.004768955795868628
Togo,2006,-32.3,47.3,244.2,2.65,839.95,1734.93,244.2,179.1,-0.018617465834356427,0.14075495841330773,0.10323183067904756,0.48414057051293136,3.43959868959869,0.1134916106125319,0.02185633940199834,-0.026567465834356426
Togo,2007,-7.9,24.1,231.6,-1.18,847.2,1799.65,231.6,195.9,-0.004389742449920818,0.12869169005084322,0.10885449948601117,0.4707582029839135,3.6580310880829017,0.11530019726057844,0.006771548665107605,-0.0008497424499208182
Togo,2008,-3.4,49.9,253.3,4.04,680.0,2042.17,253.3,211.2,-0.001664895674698972,0.12403472776507343,0.10341940191071261,0.3329791349397944,2.6845637583892614,0.0995999353628738,0.008629173910308527,-0.01378489567469897
Togo,2009,-9.0,92.2,326.3,5.45,770.124,2220.67,326.3,229.1,-0.004052830902385316,0.14693763593870318,0.10316706219294176,0.34679803842984325,2.3601716212074777,0.10541863491648917,0.01210471699988295,-0.020402830902385316
Togo,2010,4.6,123.6,354.5,5.85,260.3,2348.49,354.5,246.7,0.0019587053809043257,0.15094805598490946,0.10504622118893417,0.11083717622812958,0.7342736248236954,0.09831849401104541,0.014519836475349619,-0.015591294619095674
Togo,2011,-19.7,144.2,420.8,5.82,241.9,2555.32,420.8,291.4,-0.007709406258315983,0.16467604840098304,0.11403659815600393,0.09466524740541302,0.5748574144486692,0.10824475995178687,0.009302262461400973,-0.025169406258315985
Togo,2012,-115.4,175.1,535.0,6.3,278.8,2763.92,535.0,327.7,-0.041752293843526585,0.19356566036643608,0.11856348953660019,0.10087122637413529,0.5211214953271028,0.1302136096558511,0.021753649726388838,-0.060652293843526585
